Year,Week,Date,Sales,Cost,Quantity
2014,46,11/16/2014,62525,61796,1662
2014,47,11/17/2014,71130,70586,1893
2014,47,11/18/2014,51614,51137,1372
2014,47,11/19/2014,39993,39641,1064
2014,47,11/20/2014,42062,41839,1122
2014,47,11/21/2014,44480,39460,1056
2014,47,11/22/2014,39143,34432,925
2014,47,11/23/2014,25728,22487,607
2014,48,11/24/2014,22144,19663,528
2014,48,11/25/2014,33401,29829,798
2014,48,11/26/2014,25029,21786,584
2014,48,11/27/2014,31131,27358,725
2014,48,11/28/2014,38583,33991,903
2014,48,11/29/2014,72785,66791,1704
2014,48,11/30/2014,83265,77910,1957
2014,49,12/1/2014,86613,81321,2054
2014,49,12/2/2014,72701,71518,1788
2014,49,12/3/2014,58997,58242,1470
2014,49,12/4/2014,45322,45572,1127
2014,49,12/5/2014,64184,64901,1577
2014,49,12/6/2014,123919,129601,3103
2014,49,12/7/2014,86262,93568,2235
2014,50,12/8/2014,74269,76157,1831
2014,50,12/9/2014,62158,64395,1534
2014,50,12/10/2014,133375,141600,3375
2014,50,12/11/2014,130704,143560,3426
2014,50,12/12/2014,229998,251877,5982
2014,50,12/13/2014,304380,336602,7956
2014,50,12/14/2014,146277,160813,3817
2014,51,12/15/2014,232598,254597,6050
2014,51,12/16/2014,136831,150147,3550
2014,51,12/17/2014,122717,134734,3185
2014,51,12/18/2014,166763,185152,4358
2014,51,12/19/2014,226085,250439,5885
2014,51,12/20/2014,260551,289622,6814
2014,51,12/21/2014,143255,159406,3742
2014,52,12/22/2014,168581,175748,4132
2014,52,12/23/2014,260739,273108,6410
2014,52,12/24/2014,400699,414652,9732
2014,52,12/25/2014,113467,117500,2756
2014,52,12/26/2014,39641,40995,963
2014,52,12/27/2014,90784,93969,2205
2014,52,12/28/2014,56905,58934,1382
2015,1,12/29/2014,109858,113719,2668
2015,1,12/30/2014,178325,197099,4621
2015,1,12/31/2014,300840,332797,7799
2015,1,1/1/2015,92432,102152,2394
2015,1,1/2/2015,223413,246679,5788
2015,1,1/3/2015,202573,223865,5250
2015,1,1/4/2015,147014,162569,3811
2015,2,1/5/2015,181666,200665,4711
2015,2,1/6/2015,149601,164996,3877
2015,2,1/7/2015,68545,70846,1665
2015,2,1/8/2015,63368,65611,1539
2015,2,1/9/2015,102072,105726,2479
2015,2,1/10/2015,99557,103174,2418
2015,2,1/11/2015,57355,59409,1393
2015,3,1/12/2015,69832,72299,1696
2015,3,1/13/2015,53281,55169,1294
2015,3,1/14/2015,49078,50757,1192
2015,3,1/15/2015,65170,67174,1583
2015,3,1/16/2015,123156,127120,2991
2015,3,1/17/2015,140610,145110,3415
2015,3,1/18/2015,61596,63550,1496
2015,4,1/19/2015,74287,76182,1804
2015,4,1/20/2015,80618,82891,1958
2015,4,1/21/2015,51750,53634,1257
2015,4,1/22/2015,54844,56818,1332
2015,4,1/23/2015,127463,132137,3096
2015,4,1/24/2015,130802,135524,3177
2015,4,1/25/2015,64355,66720,1563
2015,5,1/26/2015,75677,78437,1838
2015,5,1/27/2015,63449,65733,1541
2015,5,1/28/2015,49361,51167,1199
2015,5,1/29/2015,47229,48941,1147
2015,5,1/30/2015,110874,114737,2693
2015,5,1/31/2015,164978,170419,4007
2015,5,2/1/2015,141307,146035,3432
2015,6,2/2/2015,125046,128891,3037
2015,6,2/3/2015,84117,86654,2043
2015,6,2/4/2015,67999,69594,1652
2015,6,2/5/2015,38082,38803,925
2015,6,2/6/2015,70650,71713,1716
2015,6,2/7/2015,87287,88349,2120
2015,6,2/8/2015,60193,61077,1462
2015,7,2/9/2015,80686,81188,1960
2015,7,2/10/2015,114275,124187,3030
2015,7,2/11/2015,133637,145206,3543
2015,7,2/12/2015,114154,123546,3028
2015,7,2/13/2015,295518,319781,7833
2015,7,2/14/2015,349424,377559,9260
2015,7,2/15/2015,168001,181498,4455
2015,8,2/16/2015,181718,196263,4818
2015,8,2/17/2015,115320,124333,3060
2015,8,2/18/2015,132732,142763,3519
2015,8,2/19/2015,118940,127783,3154
2015,8,2/20/2015,241519,259406,6403
2015,8,2/21/2015,220678,236989,5853
2015,8,2/22/2015,112120,120422,2973
2015,9,2/23/2015,71452,71683,1772
2015,9,2/24/2015,78680,84340,2085
2015,9,2/25/2015,163526,175172,4329
2015,9,2/26/2015,129623,139055,3437
2015,9,2/27/2015,253442,271745,6721
2015,9,2/28/2015,289173,313580,7661
2015,9,3/1/2015,211546,231252,5606
2015,10,3/2/2015,193419,211302,5127
2015,10,3/3/2015,205513,224724,5448
2015,10,3/4/2015,212790,233139,5639
2015,10,3/5/2015,120298,131758,3179
2015,10,3/6/2015,221879,243623,5874
2015,10,3/7/2015,252931,277803,6697
2015,10,3/8/2015,100627,101504,2444
2015,11,3/9/2015,96964,97713,2355
2015,11,3/10/2015,51506,51903,1251
2015,11,3/11/2015,47026,47358,1142
2015,11,3/12/2015,39563,39869,961
2015,11,3/13/2015,96787,97562,2351
2015,11,3/14/2015,124102,125065,3014
2015,11,3/15/2015,55340,55857,1344
2015,12,3/16/2015,66451,66993,1614
2015,12,3/17/2015,41757,42066,1014
2015,12,3/18/2015,40091,40438,974
2015,12,3/19/2015,35612,35939,865
2015,12,3/20/2015,79839,80649,1939
2015,12,3/21/2015,100013,101031,2429
2015,12,3/22/2015,55177,55818,1340
2015,13,3/23/2015,67034,67838,1628
2015,13,3/24/2015,103062,114029,2729
2015,13,3/25/2015,208676,230939,5525
2015,13,3/26/2015,188869,209338,5008
2015,13,3/27/2015,291887,323140,7735
2015,13,3/28/2015,378658,419212,10038
2015,13,3/29/2015,184682,204320,4893
2015,14,3/30/2015,177348,196343,4702
2015,14,3/31/2015,292994,323579,7764
2015,14,4/1/2015,411136,453595,10884
2015,14,4/2/2015,589253,650121,15605
2015,14,4/3/2015,420526,463358,11128
2015,14,4/4/2015,329886,363616,8735
2015,14,4/5/2015,111729,123194,2959
2015,15,4/6/2015,150369,165895,3985
2015,15,4/7/2015,145711,149160,3583
2015,15,4/8/2015,83166,84099,2020
2015,15,4/9/2015,61552,62232,1495
2015,15,4/10/2015,94002,95031,2283
2015,15,4/11/2015,104254,105391,2532
2015,15,4/12/2015,65638,66348,1594
2015,16,4/13/2015,68513,69149,1664
2015,16,4/14/2015,33603,33396,807
2015,16,4/15/2015,48027,47635,1152
2015,16,4/16/2015,41205,40827,987
2015,16,4/17/2015,85633,84793,2048
2015,16,4/18/2015,109475,108319,2614
2015,16,4/19/2015,51742,51183,1234
2015,17,4/20/2015,47166,46579,1125
2015,17,4/21/2015,46870,46132,1115
2015,17,4/22/2015,109388,117281,2834
2015,17,4/23/2015,49701,48869,1182
2015,17,4/24/2015,283148,303011,7328
2015,17,4/25/2015,409477,447593,10832
2015,17,4/26/2015,165123,176397,4268
2015,18,4/27/2015,159897,170618,4132
2015,18,4/28/2015,157040,167901,4068
2015,18,4/29/2015,163983,175159,4244
2015,18,4/30/2015,317674,339685,8229
2015,18,5/1/2015,411802,439985,10661
2015,18,5/2/2015,380457,415441,10068
2015,18,5/3/2015,213887,228502,5539
2015,19,5/4/2015,263965,281565,6826
2015,19,5/5/2015,197719,210458,5102
2015,19,5/6/2015,185416,202564,4911
2015,19,5/7/2015,96582,96800,2347
2015,19,5/8/2015,272436,297304,7209
2015,19,5/9/2015,321373,351036,8512
2015,19,5/10/2015,137241,149873,3634
2015,20,5/11/2015,163536,178664,4332
2015,20,5/12/2015,159200,173951,4218
2015,20,5/13/2015,137132,149855,3634
2015,20,5/14/2015,122937,134302,3257
2015,20,5/15/2015,313644,342662,8310
2015,20,5/16/2015,340928,372561,9035
2015,20,5/17/2015,145996,159546,3869
2015,21,5/18/2015,161869,176854,4289
2015,21,5/19/2015,113676,123621,2998
2015,21,5/20/2015,136945,149309,3621
2015,21,5/21/2015,69722,68366,1658
2015,21,5/22/2015,265211,289714,7026
2015,21,5/23/2015,345061,377048,9144
2015,21,5/24/2015,139718,152529,3699
2015,22,5/25/2015,211326,230921,5600
2015,22,5/26/2015,164313,179537,4354
2015,22,5/27/2015,200711,219280,5318
2015,22,5/28/2015,179443,196062,4755
2015,22,5/29/2015,389105,424983,10307
2015,22,5/30/2015,450067,491862,11929
2015,22,5/31/2015,218086,238158,5776
2015,23,6/1/2015,363348,397141,9632
2015,23,6/2/2015,275510,301153,7304
2015,23,6/3/2015,222370,242893,5891
2015,23,6/4/2015,165764,180966,4389
2015,23,6/5/2015,241839,264170,6407
2015,23,6/6/2015,287949,314470,7627
2015,23,6/7/2015,148010,161667,3921
2015,24,6/8/2015,90494,88770,2153
2015,24,6/9/2015,63420,62053,1508
2015,24,6/10/2015,58675,57418,1396
2015,24,6/11/2015,56853,55636,1353
2015,24,6/12/2015,127864,124939,3041
2015,24,6/13/2015,152548,149124,3629
2015,24,6/14/2015,69042,67443,1642
2015,25,6/15/2015,123203,120374,2931
2015,25,6/16/2015,82803,80947,1974
2015,25,6/17/2015,73404,71607,1747
2015,25,6/18/2015,64895,63274,1545
2015,25,6/19/2015,116950,113731,2782
2015,25,6/20/2015,139523,135696,3319
2015,25,6/21/2015,73766,71726,1754
2015,26,6/22/2015,70859,68921,1686
2015,26,6/23/2015,53530,51983,1274
2015,26,6/24/2015,87859,94843,2326
2015,26,6/25/2015,151504,163354,4009
2015,26,6/26/2015,263364,283655,6964
2015,26,6/27/2015,304293,327784,8051
2015,26,6/28/2015,152992,164800,4050
2015,27,6/29/2015,136435,147054,3614
2015,27,6/30/2015,175091,188700,4637
2015,27,7/1/2015,251540,271119,6664
2015,27,7/2/2015,206420,222466,5471
2015,27,7/3/2015,221195,237961,5854
2015,27,7/4/2015,260715,280129,6893
2015,27,7/5/2015,129278,138774,3417
2015,28,7/6/2015,143382,154009,3792
2015,28,7/7/2015,111874,120237,2961
2015,28,7/8/2015,69575,70729,1742
2015,28,7/9/2015,58358,60130,1481
2015,28,7/10/2015,103822,106930,2633
2015,28,7/11/2015,117333,120342,2963
2015,28,7/12/2015,47326,49101,1209
2015,29,7/13/2015,52191,54090,1327
2015,29,7/14/2015,42227,43906,1077
2015,29,7/15/2015,66197,68338,1689
2015,29,7/16/2015,59263,61676,1524
2015,29,7/17/2015,98235,102570,2530
2015,29,7/18/2015,106672,110784,2738
2015,29,7/19/2015,63987,66520,1633
2015,30,7/20/2015,57626,59669,1473
2015,30,7/21/2015,59313,61751,1521
2015,30,7/22/2015,36511,38019,941
2015,30,7/23/2015,55049,57965,1429
2015,30,7/24/2015,103580,109057,2686
2015,30,7/25/2015,114240,120018,2944
2015,30,7/26/2015,67341,71147,1738
2015,31,7/27/2015,71567,75456,1848
2015,31,7/28/2015,46954,49411,1215
2015,31,7/29/2015,44034,46420,1138
2015,31,7/30/2015,45436,47714,1173
2015,31,7/31/2015,119521,125319,3082
2015,31,8/1/2015,142821,149419,3670
2015,31,8/2/2015,72647,75946,1861
2015,32,8/3/2015,66869,69496,1709
2015,32,8/4/2015,64010,67241,1654
2015,32,8/5/2015,62205,65240,1605
2015,32,8/6/2015,61275,64365,1584
2015,32,8/7/2015,99161,103438,2545
2015,32,8/8/2015,108672,113483,2792
2015,32,8/9/2015,62222,65201,1602
2015,33,8/10/2015,57660,60759,1493
2015,33,8/11/2015,49600,52291,1288
2015,33,8/12/2015,36836,39173,965
2015,33,8/13/2015,32522,34628,853
2015,33,8/14/2015,70702,75168,1852
2015,33,8/15/2015,96656,102431,2528
2015,33,8/16/2015,58557,62367,1538
2015,34,8/17/2015,53067,56444,1393
2015,34,8/18/2015,28980,30805,760
2015,34,8/19/2015,19147,20155,498
2015,34,8/20/2015,20400,21244,530
2015,34,8/21/2015,63201,65798,1653
2015,34,8/22/2015,84248,87555,2206
2015,34,8/23/2015,46953,48119,1209
2015,35,8/24/2015,48986,49989,1259
2015,35,8/25/2015,179391,206507,5241
2015,35,8/26/2015,227004,256774,6622
2015,35,8/27/2015,188496,211415,5501
2015,35,8/28/2015,319451,356853,9337
2015,35,8/29/2015,380062,421900,11112
2015,35,8/30/2015,166673,184079,4873
2015,36,8/31/2015,274060,302659,8011
2015,36,9/1/2015,317117,349593,9277
2015,36,9/2/2015,284952,312564,8325
2015,36,9/3/2015,223784,245278,6542
2015,36,9/4/2015,280555,306330,8188
2015,36,9/5/2015,300313,327876,8771
2015,36,9/6/2015,135744,147703,3956
2015,37,9/7/2015,147448,160964,4308
2015,37,9/8/2015,57923,55720,1492
2015,37,9/9/2015,62642,60379,1616
2015,37,9/10/2015,39892,37891,1015
2015,37,9/11/2015,70823,68196,1808
2015,37,9/12/2015,47288,45437,1211
2015,37,9/13/2015,26766,25723,683
2015,38,9/14/2015,42985,41520,1095
2015,38,9/15/2015,42031,40638,1071
2015,38,9/16/2015,24883,23918,637
2015,38,9/17/2015,24518,23482,626
2015,38,9/18/2015,56454,54251,1446
2015,38,9/19/2015,56860,54526,1455
2015,38,9/20/2015,34493,33136,888
2015,39,9/21/2015,36510,34688,926
2015,39,9/22/2015,38402,36629,974
2015,39,9/23/2015,103162,115876,3070
2015,39,9/24/2015,123644,140226,3702
2015,39,9/25/2015,303297,345780,9090
2015,39,9/26/2015,289520,332473,8676
2015,39,9/27/2015,134566,155025,4034
2015,40,9/28/2015,157313,181085,4714
2015,40,9/29/2015,117913,136232,3534
2015,40,9/30/2015,266634,308065,7988
2015,40,10/1/2015,331543,384029,9943
2015,40,10/2/2015,324392,374920,9690
2015,40,10/3/2015,371749,431074,11132
2015,40,10/4/2015,167211,194287,5015
2015,41,10/5/2015,242743,281695,7275
2015,41,10/6/2015,182634,211788,5469
2015,41,10/7/2015,52716,51793,1337
2015,41,10/8/2015,49124,48276,1246
2015,41,10/9/2015,104321,102530,2646
2015,41,10/10/2015,98689,96996,2503
2015,41,10/11/2015,47314,46504,1200
2015,42,10/12/2015,47591,46768,1207
2015,42,10/13/2015,33080,32510,839
2015,42,10/14/2015,34773,34173,882
2015,42,10/15/2015,44081,43312,1118
2015,42,10/16/2015,91317,89745,2316
2015,42,10/17/2015,91909,90323,2331
2015,42,10/18/2015,49288,48444,1250
2015,43,10/19/2015,45462,44681,1153
2015,43,10/20/2015,34657,34061,879
2015,43,10/21/2015,44236,43479,1122
2015,43,10/22/2015,46092,45300,1169
2015,43,10/23/2015,153093,160980,4155
